symbol,name,price,irr,eps_roc,eps_diluted,MOP,QA,MCap,PE,error_message,ROE
KMI,"Kinder Morgan, Inc.",16.53,27.412120727216013,32.02,0.05567492119254113,0.13333333333333333,0.5626724477729602,37465576657.920006,21.093211267605636,,
GE,General Electric Company,103.8,,0.41495006242197263,-0.06872813531643521,0.020284103040731485,1.4344565294661265,113937114614.5801,-46.66960262187628,,
BAC,Bank of America Corporation,42.14,0.2519632306322819,0.35653846153846147,0.10110779371814076,0.9717269839797834,19.691682625122922,354603895439.36,13.150425773755657,,
HPQ,HP Inc.,27.89,0.6703452329237409,0.6188338688338688,-1.2759890325107717,0.06580271544342238,0.5600686498855835,32143781015.04,8.11631876227898,,
CX,"CEMEX, S.A.B. de C.V.",7.32,-0.21928328542186903,-0.11151519228083856,-0.05612637896291601,0.10354664610639938,0.6098654708520179,10781627765.76,-23.011404901803203,,
F,Ford Motor Company,13.78,-0.0020637703702823806,0.0681922196796339,0.10306637534845174,-0.03466935128673001,1.08996625236645,54071478256.64,16.084725146198828,,
SNAP,Snap Inc.,83.11,,2.0565636424061147,-0.328777898891449,-0.34391728163674995,5.0020080110650404,110190562400.0,-171.11238850935064,,
WFC,Wells Fargo & Company,47.92,0.016238650880782135,0.035735680665077374,0.08437913232376203,0.0,0.4785843827861489,196779166433.28,12.502424694794106,,
AIG,"American International Group, Inc.",54.81,,3.192811697153492,0.06420766069072802,0.0,,46873620743.04,11.234499840406176,,
T,AT&T Inc.,27.13,0.44782875701455405,0.43411024823929256,-0.01112369612941652,0.14721122496506753,0.819824080204294,193708193054.72,-99.88076014381097,,
C,Citigroup Inc.,71.18,0.12416003341692194,-2.502517808892164,0.10658969409896402,0.14949258391881343,0.0,144266913338.88,6.858211675412295,,
VALE,Vale S.A.,14.49,0.3021678660510745,0.32164826850689054,0.4562362346031487,0.45836873406966866,1.3938604906125804,72330889881.6,4.402448710888611,,
MS,Morgan Stanley,102.91,0.14071979316496463,0.29448175732588555,0.1353254911621605,0.08791888488811328,inf,187765469600.0,13.593442073836743,,
JPM,JPMorgan Chase & Co.,163.04,0.10668038596331186,0.22284677755901983,0.17118257786781463,0.9792877876579975,11.898670659846584,487189606400.0,10.351626988939302,,
ORCL,Oracle Corporation,89.94,0.5570094393375267,0.8536199095022625,2.418548212351029,0.3866943353343709,2.299577884456216,246271917834.24,17.85004730504587,,
NKE,"NIKE, Inc.",149.59,-0.007100418370401318,0.3006766175476964,0.5140702840985593,0.15575463649018814,2.009199917304114,191189480706.56,41.24368954077178,,
PG,The Procter & Gamble Company,143.55,-0.6269746117384256,-0.47691235321930464,0.30128043130317583,0.23629102183452008,0.5163588071954606,348585336000.0,24.675227526911787,,
BBD,Banco Bradesco S.A.,3.8,,5.772001713567301,0.15504957335499214,0.0,,,7.644903013493656,,
PFE,Pfizer Inc.,43.94,0.5412773472153296,0.7698985042735045,0.19749768580728,0.20902930228118735,1.042476851851852,246357949460.47998,18.595110371938315,,
NOK,Nokia Corporation,5.58,,0.11538461538461536,-0.1351636747624076,0.04695222405271829,1.3581328118357283,31411660953.600002,-14.142013179025424,,
TWTR,"Twitter, Inc.",67.22,2.322467860698493,-6.084615384615385,0.049230624619576765,0.007173169150690637,4.422876385300073,53639340126.72,139.26849389614208,,
XOM,Exxon Mobil Corporation,57.59,0.7073311976777588,0.7583808188961905,-0.07859681396936022,-0.164906425347475,0.46205844259531964,243810724085.76,-18.473731432858216,,
VIPS,Vipshop Holdings Limited,11.96,1.1997375592616377,-0.031065819669195693,0.21778889590971684,0.05753164078450054,0.8856381140871668,8087459927.040001,8.495323959996925,,
AXP,American Express Company,175.72,0.3975642190620565,0.5944816900569112,0.20016659461625247,0.0,0.013866807984455044,139597770977.28,29.767989886219976,,
BMY,Bristol-Myers Squibb Company,60.23,1.297759483902989,1.580296350792316,-0.1248993292716665,0.05120184392492591,1.4736897274633123,133837682408.95999,-26.40917700334711,,
V,Visa Inc.,231.59,0.04975019001361303,0.354037328010265,0.2909188284518828,0.6450608807104276,1.9052377670572018,390840562421.76,36.04737573637703,,
